#### EXPORT DONNEES METEO POUR "BISCARROSSE" (LAT/LON: 44.3946602/-1.164218)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2022-03-23,15,9,16,9,15,14,0,75,10,1025,34.875,15,8,7,116,113,116,0,3,11.6,météo correcte,20:20:00,08:03:00,10
2022-03-24,16,8,14,8,15,14,0,75,10,1025,25.75,16,8,5,113,113,122,0,4,10.2,météo correcte,20:22:00,08:01:00,9
2022-03-25,18,10,15,10,14,18,0,69,10,1023,57.875,18,8,8,122,122,113,0,4,9,météo correcte,20:23:00,07:59:00,11
2022-03-26,19,10,19,10,17,19,0,53,10,1023,14,19,7,7,116,113,113,0,4,11.6,météo favorable,20:24:00,07:57:00,11
2022-03-27,18,10,23,10,17,17,0,70,10,1025,18,18,8,7,113,113,116,0,4,11.6,météo favorable,20:25:00,07:55:00,10
2022-03-28,19,11,13,11,18,17,0,72,10,1024,19.375,19,10,9,113,113,113,0,5,11.6,météo favorable,20:27:00,07:54:00,12
2022-03-29,14,12,14,13,14,12,0.5,85,9,1015,78.625,14,11,12,122,122,353,0,4,6.4,météo défavorable,20:28:00,07:52:00,13
2022-03-30,14,11,22,11,14,13,0.3,89,10,1008,64,14,10,9,116,176,122,0,4,6.4,météo correcte,20:29:00,07:50:00,11
2022-03-31,12,8,29,10,12,10,2.8,84,9.875,1007,93.375,12,8,8,353,176,353,0,3,6.4,météo défavorable,20:30:00,07:48:00,11
2022-04-01,9,6,42,6,8,9,1.6,59,9.75,1015,75.625,9,1,2,353,353,176,0,2,7.7,météo défavorable,20:32:00,07:46:00,6
